Flight_Date,Airline_Code,Origin_Airport,Destination_Airport,Scheduled_Departure,Actual_Departure,Departure_Delay,Scheduled_Arrival,Actual_Arrival,Arrival_Delay,Cancelled,Cancellation_Reason
2025-03-16,Delta,DFW,FRA,0917,0908,-9,0324,0317,-7,0,
2024-11-06,British Airways,DEL,SIN,0526,0612,46,0728,0816,48,0,
2025-02-21,FlyDubai,BOM,HND,1604,1737,93,1902,2031,89,0,
2024-10-25,Delta,FRA,PEK,0805,0850,45,0154,0300,66,0,
2025-08-08,British Airways,JFK,ICN,1505,1501,-4,2042,2034,-8,0,
2024-09-02,American Airlines,CDG,SYD,0829,1006,97,0947,1118,91,0,
2024-12-05,American Airlines,DFW,SFO,0241,0325,44,0037,0123,46,0,
2025-02-13,Etihad,LAX,ICN,1910,1955,45,0551,0647,56,0,
2024-12-19,American Airlines,FRA,JFK,0114,0142,28,2143,2215,32,0,
2024-09-15,British Airways,BKK,DXB,1244,1400,76,0529,0701,92,0,
2024-09-13,British Airways,JFK,BKK,1510,1518,8,2139,2138,-1,0,
2025-06-28,Delta,SIN,LHR,2056,2122,26,1342,1421,39,0,
2025-07-06,Singapore Airlines,SFO,DOH,0658,0834,96,1625,1830,125,0,
2025-04-09,American Airlines,BKK,HND,1516,1708,112,1843,2044,121,0,
2025-07-24,Singapore Airlines,FRA,CDG,1430,1600,90,1810,2002,112,0,
2025-01-31,FlyDubai,CDG,JFK,1758,1954,116,0511,0730,139,0,
2025-02-08,American Airlines,CDG,JFK,1511,1709,118,0617,0817,120,0,
2025-06-08,Etihad,BOM,JFK,0530,0552,22,0627,0644,17,0,
2025-05-04,Singapore Airlines,JFK,SFO,1548,1623,35,1710,1802,52,0,
2024-11-12,Air India,ICN,LHR,1028,1139,71,0643,0808,85,0,
2025-07-20,Etihad,DFW,DOH,0834,1004,90,0636,0815,99,0,
2025-07-24,Air India,DEL,KWI,0726,0918,112,2022,2210,108,0,
2025-04-10,Etihad,ICN,DEL,1209,1250,41,1136,1214,38,0,
2025-07-26,Emirates,DXB,FRA,1817,2004,107,1212,1415,123,0,
2025-03-28,Air India,ORD,BKK,2045,2238,113,1303,1456,113,0,
2024-09-29,Delta,CDG,FRA,0423,0435,12,0028,0102,34,0,
2024-10-31,Qatar Airways,BKK,SYD,1547,1613,26,2134,2210,36,0,
2025-02-10,British Airways,DFW,DOH,1752,1808,16,1852,1858,6,1,Security
2024-10-27,Etihad,DOH,DFW,1603,1602,-1,0041,0059,18,0,
2025-01-23,Delta,JFK,HND,1854,1838,-16,1957,1948,-9,0,
2024-09-06,Emirates,SIN,AUH,0800,0915,75,0503,0631,88,0,
2025-07-10,Lufthansa,KWI,DOH,1628,1650,22,0706,0739,33,0,
2025-03-15,British Airways,SFO,BKK,0600,0751,111,2140,2327,107,0,
2025-08-24,Singapore Airlines,BOM,HND,2008,2114,66,1750,1905,75,0,
2025-04-14,Delta,HND,BKK,2006,2107,61,1712,1834,82,0,
2024-12-31,Etihad,SYD,BKK,1947,2113,86,1403,1551,108,0,
2024-11-12,FlyDubai,BKK,FRA,0041,0151,70,0322,0433,71,0,
2024-10-21,Singapore Airlines,CDG,FRA,2206,2345,99,0218,0358,100,0,
2024-09-16,British Airways,HND,FRA,2124,2238,74,0720,0846,86,0,
2025-03-30,Lufthansa,DFW,BKK,0827,1005,98,2112,2314,122,0,
2024-09-28,Etihad,ICN,DXB,1348,1331,-17,1144,1152,8,0,
2025-04-14,Air India,HND,DOH,2119,2251,92,1820,2010,110,0,
2025-06-16,Emirates,LHR,KWI,1250,1312,22,2032,2113,41,0,
2024-12-09,Emirates,DXB,KWI,0327,0353,26,1435,1524,49,0,
2024-09-09,Qatar Airways,AUH,DXB,0528,0606,38,0900,0929,29,0,
2024-11-19,Emirates,DOH,LHR,0752,0800,8,0018,0021,3,0,
2025-02-10,Emirates,DOH,JFK,0204,0300,56,2152,2301,69,0,
2025-05-17,Air India,SIN,JFK,0243,0435,112,0503,0721,138,0,
2025-03-25,FlyDubai,JFK,PEK,0231,0216,-15,0714,0649,-25,0,
2025-01-15,Delta,AUH,DOH,1553,1720,87,0922,1043,81,0,
2025-04-11,Singapore Airlines,BKK,CDG,0333,0525,112,1806,2015,129,0,
2025-08-03,Air India,JFK,HND,2128,2205,37,0118,0149,31,0,
2025-07-01,Delta,DOH,LAX,0932,0919,-13,1932,1909,-23,0,
2025-05-03,Qatar Airways,HND,SIN,1207,1319,72,1101,1238,97,0,
2024-11-07,Air India,LHR,DEL,1914,2043,89,0831,1027,116,0,
2025-06-28,Air India,ORD,DXB,1404,1500,56,1827,1923,56,0,
2025-01-13,American Airlines,FRA,SYD,1521,1522,1,0535,0600,25,0,
2024-10-03,Emirates,JFK,BOM,0126,0228,62,0931,1057,86,0,
2024-12-07,Delta,SFO,CDG,2101,2212,71,0737,0848,71,0,
2025-01-13,Etihad,ICN,PEK,0733,0851,78,1020,1156,96,0,
2025-02-15,FlyDubai,SIN,KWI,1802,1924,82,0240,0412,92,0,
2024-09-17,Emirates,DEL,DFW,1241,1300,19,0921,0942,21,0,
2025-05-21,British Airways,DEL,LHR,0154,0211,17,2151,2214,23,0,
2024-12-23,Air India,FRA,AUH,1538,1658,80,1627,1750,83,0,
2025-01-20,Emirates,PEK,DOH,0045,0158,73,0837,0940,63,0,
2025-06-28,Etihad,CDG,DXB,1856,1847,-9,0357,0409,12,0,
2025-02-04,Emirates,SYD,KWI,2025,2018,-7,0548,0544,-4,0,
2025-01-25,Air India,HND,DFW,0758,0912,74,1126,1244,78,0,
2025-06-15,Air India,LAX,SIN,1813,1936,83,2055,2232,97,0,
2024-11-04,Etihad,DEL,LAX,0545,0629,44,1825,1930,65,0,
2024-11-12,Lufthansa,BOM,SIN,0022,0024,2,2205,2157,-8,0,
2024-09-09,Etihad,DXB,DFW,1723,1919,116,2245,0054,129,0,
2025-02-16,Lufthansa,JFK,BOM,1106,1250,104,0624,0836,132,0,
2024-08-31,Etihad,DEL,BKK,1947,1950,3,1939,1953,14,0,
2025-05-14,Air India,DFW,SYD,1500,1541,41,1447,1542,55,0,
2025-07-14,Qatar Airways,LAX,DOH,1141,1310,89,1736,1915,99,0,
2025-07-14,Etihad,DFW,ORD,0449,0559,70,0207,0335,88,0,
2025-02-10,FlyDubai,HND,SIN,2145,2239,54,1135,1251,76,0,
2025-01-26,Delta,ICN,DEL,0353,0418,25,1042,1058,16,0,
2025-03-31,Delta,SIN,KWI,1515,1557,42,0227,0312,45,0,
2024-12-09,Delta,KWI,JFK,1141,1333,112,1005,1205,120,0,
2025-02-04,American Airlines,CDG,KWI,1407,1522,75,0719,0855,96,0,
2024-12-19,Qatar Airways,JFK,LHR,0715,0709,-6,2218,2211,-7,0,
2025-03-07,American Airlines,BOM,DEL,0902,0941,39,0003,0039,36,0,
2024-09-26,Qatar Airways,AUH,FRA,1130,1319,109,0048,0301,133,0,
2025-06-14,Delta,BKK,CDG,2106,2142,36,0524,0605,41,0,
2025-08-12,Qatar Airways,SFO,SIN,1622,1714,52,0026,0114,48,0,
2024-10-02,Etihad,PEK,AUH,0613,0626,13,0611,0639,28,0,
2025-04-12,Delta,DOH,JFK,1450,1457,7,0643,0655,12,0,
2025-03-18,Qatar Airways,DOH,PEK,0007,0037,30,1639,1720,41,0,
2025-03-01,Emirates,DXB,BOM,1039,1025,-14,1922,1900,-22,0,
2025-03-25,Air India,BKK,LAX,0057,0057,0,1556,1615,19,0,
2024-12-23,Qatar Airways,LAX,DOH,1514,1528,14,0303,0318,15,0,
2025-02-11,Delta,BOM,SYD,1253,1325,32,1906,1957,51,0,
2025-07-13,Emirates,JFK,SYD,1933,2038,65,0636,0750,74,0,
2025-01-12,Qatar Airways,DEL,KWI,1205,1229,24,2045,2124,39,0,
2025-05-04,Air India,DOH,ORD,0838,0946,68,1224,1334,70,0,
2024-09-28,Qatar Airways,HND,SIN,1428,1605,97,0216,0359,103,0,
2024-11-04,American Airlines,ICN,BOM,1427,1426,-1,0014,0005,-9,0,
2025-05-16,Lufthansa,LAX,SIN,0013,0138,85,1632,1823,111,0,
2025-03-30,British Airways,BOM,SFO,0532,0651,79,0246,0405,79,0,
2024-10-12,Singapore Airlines,SIN,ICN,0935,1115,100,0116,0303,107,0,
2024-12-24,American Airlines,FRA,SFO,1036,1206,90,2144,2323,99,0,
2024-10-18,FlyDubai,FRA,DXB,0844,1013,89,0505,0659,114,0,
2025-04-03,Qatar Airways,SFO,LHR,2202,2350,108,0453,0705,132,0,
2024-11-21,Delta,AUH,LAX,0637,0815,98,0246,0446,120,0,
2025-02-03,Etihad,SFO,LHR,0218,0320,62,1011,1116,65,0,
2024-12-21,American Airlines,BKK,DOH,1015,1111,56,1804,1857,53,0,
2025-04-20,Singapore Airlines,DFW,KWI,2144,2308,84,0001,0154,113,0,
2024-09-08,Singapore Airlines,LHR,AUH,1438,1542,64,0649,0819,90,0,
2025-05-14,Singapore Airlines,DFW,KWI,0120,0227,67,0334,0448,74,0,
2024-10-17,Delta,DFW,JFK,1450,1545,55,0434,0519,45,0,
2025-05-11,Delta,BKK,FRA,1045,1046,1,0937,0936,-1,0,
2025-02-19,Qatar Airways,BOM,DFW,1251,1412,81,0207,0356,109,0,
2025-04-09,American Airlines,SFO,DFW,1419,1443,24,0312,0345,33,0,
2024-11-06,FlyDubai,LAX,KWI,0007,0124,77,0242,0402,80,0,
2025-01-24,Air India,SIN,PEK,1406,1359,-7,1503,1457,-6,0,
2025-07-05,American Airlines,FRA,SIN,2058,2126,28,1548,1615,27,0,
2024-09-24,Air India,DOH,FRA,0256,0352,56,1725,1817,52,0,
2024-10-10,Emirates,LHR,LAX,1002,1111,69,1908,2045,97,1,Security
2025-03-17,Emirates,JFK,CDG,1944,2113,89,0354,0549,115,1,Air Traffic
2025-04-28,FlyDubai,DFW,JFK,0600,0708,68,1336,1502,86,1,Air Traffic
2024-10-31,Air India,JFK,DXB,0605,0648,43,0447,0553,66,0,
2025-02-22,American Airlines,DOH,DFW,1405,1534,89,0112,0236,84,0,
2025-02-26,Emirates,LHR,BOM,1008,1126,78,2222,0009,107,0,
2025-03-18,Etihad,HND,FRA,1847,2006,79,0921,1104,103,0,
2024-09-14,Air India,HND,LHR,0257,0447,110,2127,2318,111,0,
2025-04-04,Qatar Airways,DXB,ORD,1550,1702,72,0336,0457,81,0,
2025-05-25,Qatar Airways,JFK,PEK,1232,1408,96,1809,2004,115,0,
2024-12-23,Qatar Airways,KWI,BOM,1548,1647,59,0736,0830,54,0,
2024-12-20,American Airlines,KWI,BOM,0100,0131,31,2236,2310,34,0,
2025-01-28,Air India,LAX,SFO,1418,1611,113,1049,1244,115,0,
2024-11-26,Emirates,SYD,DOH,1738,1920,102,1546,1748,122,0,
2024-09-12,Delta,SIN,ICN,0207,0201,-6,0624,0610,-14,0,
2025-01-28,FlyDubai,SIN,DXB,1611,1709,58,0134,0240,66,0,
2025-04-28,Lufthansa,LAX,HND,0149,0322,93,1932,2128,116,0,
2025-05-09,American Airlines,CDG,ICN,0745,0730,-15,1906,1854,-12,0,
2024-12-11,Lufthansa,ORD,AUH,1051,1239,108,0611,0810,119,0,
2024-11-06,American Airlines,JFK,FRA,0344,0531,107,1612,1800,108,0,
2024-11-02,Qatar Airways,DEL,CDG,0555,0650,55,0010,0126,76,0,
2025-06-23,American Airlines,AUH,ICN,0108,0145,37,0340,0423,43,0,
2024-10-04,Lufthansa,KWI,SYD,0044,0121,37,1926,2000,34,0,
2025-06-03,FlyDubai,AUH,FRA,2007,2150,103,0926,1112,106,0,
2025-06-07,American Airlines,ICN,SFO,1324,1427,63,1417,1523,66,0,
2025-07-20,FlyDubai,DFW,HND,1405,1451,46,0926,1017,51,0,
2024-11-08,British Airways,LAX,PEK,0732,0818,46,0741,0838,57,0,
2025-01-10,British Airways,DOH,SIN,0031,0051,20,1913,1948,35,0,
2025-08-08,Qatar Airways,FRA,SYD,0923,1012,49,1953,2054,61,0,
2024-10-19,Lufthansa,LAX,SFO,1227,1354,87,0131,0306,95,0,
2025-01-13,Lufthansa,KWI,SIN,1914,2004,50,0239,0323,44,0,
2025-03-31,Singapore Airlines,AUH,ICN,0646,0840,114,0326,0510,104,0,
2025-06-08,Singapore Airlines,KWI,JFK,0010,0203,113,0613,0804,111,0,
2024-10-09,Delta,JFK,PEK,0934,1123,109,1148,1401,133,0,
2025-08-05,Emirates,SIN,HND,0426,0524,58,1427,1523,56,0,
2024-12-10,Air India,AUH,BKK,1713,1750,37,0419,0514,55,0,
2025-03-08,Emirates,PEK,KWI,0157,0137,-20,1216,1204,-12,0,
2025-02-04,Emirates,JFK,FRA,1726,1716,-10,1932,1928,-4,0,
2024-10-02,British Airways,KWI,LAX,2220,2302,42,0856,1001,65,0,
2025-05-17,British Airways,ICN,BKK,1712,1837,85,0245,0415,90,0,
2025-01-27,American Airlines,CDG,LAX,0556,0608,12,1900,1903,3,0,
2025-08-03,Singapore Airlines,JFK,LHR,1008,1142,94,0646,0831,105,0,
2025-07-24,American Airlines,SYD,DOH,0229,0345,76,1722,1847,85,0,
2024-11-21,Lufthansa,SFO,DEL,1722,1821,59,0750,0853,63,0,
2025-06-17,Qatar Airways,BKK,HND,1545,1658,73,1717,1854,97,0,
2024-12-27,Lufthansa,DFW,SIN,1940,2132,112,1204,1354,110,0,
2025-08-20,American Airlines,PEK,KWI,0941,0945,4,1955,2007,12,0,
2025-07-27,British Airways,ICN,BOM,0343,0351,8,0401,0413,12,1,Air Traffic
2024-09-02,Singapore Airlines,JFK,LAX,1425,1545,80,0409,0557,108,0,
2024-12-15,Singapore Airlines,CDG,SIN,2249,0006,77,1904,2045,101,0,
2025-03-21,Delta,LHR,FRA,2236,0009,93,0419,0613,114,0,
2025-06-09,Lufthansa,SIN,ICN,1631,1716,45,0413,0503,50,0,
2024-12-13,Lufthansa,SYD,AUH,1712,1816,64,0804,0913,69,0,
2025-01-21,Air India,PEK,SYD,0714,0728,14,1738,1755,17,0,
2025-02-16,Delta,SYD,LAX,1822,1835,13,1822,1903,41,0,
2024-12-24,Etihad,SIN,ORD,0821,0852,31,0507,0535,28,0,
2025-04-28,Delta,DEL,FRA,2214,2239,25,1957,2043,46,0,
2025-05-01,Emirates,DFW,AUH,0711,0836,85,2229,0011,102,0,
2025-08-18,FlyDubai,ICN,CDG,1516,1715,119,0818,1008,110,0,
2025-04-02,British Airways,DEL,FRA,1807,1826,19,0824,0835,11,0,
2025-04-12,Delta,DXB,DFW,1712,1711,-1,0947,0938,-9,0,
2025-02-06,Singapore Airlines,SFO,JFK,0120,0133,13,1757,1833,36,0,
2025-03-26,British Airways,ORD,DFW,1033,1121,48,1030,1121,51,0,
2024-09-24,Etihad,DEL,KWI,0635,0734,59,0329,0432,63,0,
2025-01-05,American Airlines,JFK,DXB,1837,2005,88,1904,2058,114,0,
2025-02-16,Lufthansa,DFW,ICN,0441,0542,61,1547,1641,54,0,
2024-12-23,Lufthansa,DOH,DEL,0352,0530,98,0256,0439,103,0,
2024-11-25,Singapore Airlines,JFK,SYD,1232,1353,81,1910,2052,102,0,
2024-10-17,Etihad,CDG,LAX,0936,1127,111,1034,1230,116,0,
2025-08-09,Singapore Airlines,AUH,SIN,2025,2005,-20,1852,1842,-10,0,
2025-03-03,Qatar Airways,DEL,DOH,0339,0401,22,1929,2002,33,0,
2025-02-22,Singapore Airlines,HND,CDG,1324,1500,96,1020,1200,100,0,
2024-11-25,Qatar Airways,BKK,ORD,0749,0821,32,0723,0820,57,0,
2024-12-13,Singapore Airlines,DEL,DOH,0030,0154,84,0617,0758,101,0,
2024-08-29,FlyDubai,BKK,ORD,1753,1825,32,1713,1804,51,0,
2024-11-06,British Airways,DXB,LHR,0441,0607,86,2252,0020,88,0,
2025-02-11,British Airways,KWI,HND,1502,1618,76,2156,2302,66,0,
2025-02-01,Air India,DEL,SFO,0406,0532,86,1906,2055,109,0,
2025-04-28,Delta,SYD,KWI,0410,0445,35,1118,1217,59,0,
2024-10-25,Air India,JFK,LHR,0036,0148,72,1702,1809,67,0,
2025-02-24,American Airlines,ORD,DOH,0525,0542,17,0903,0937,34,0,
2025-08-04,Emirates,PEK,AUH,1332,1505,93,1923,2102,99,0,
2024-10-08,FlyDubai,SIN,CDG,1903,2043,100,2117,2313,116,0,
2025-07-07,Air India,AUH,DXB,1622,1739,77,0529,0706,97,0,
2025-05-24,Lufthansa,DOH,DEL,0245,0428,103,1854,2032,98,0,
2025-03-07,FlyDubai,DEL,DFW,2154,2322,88,1538,1722,104,0,
2025-04-15,Singapore Airlines,LHR,DXB,0802,0805,3,1456,1526,30,0,
2024-12-20,Delta,CDG,ICN,2234,0017,103,1531,1743,132,0,
2025-07-22,Emirates,AUH,LAX,1909,1939,30,0554,0623,29,0,
2025-02-05,British Airways,ORD,LHR,1330,1518,108,1550,1749,119,0,
2025-07-07,Singapore Airlines,KWI,AUH,1944,2122,98,1425,1615,110,0,
2024-10-04,Delta,BOM,SFO,0819,0957,98,1844,2030,106,0,
2024-12-12,Emirates,ICN,LAX,1605,1639,34,0816,0900,44,0,
2025-02-04,FlyDubai,ICN,PEK,1413,1600,107,0432,0639,127,0,
2024-11-12,FlyDubai,BKK,SYD,1552,1611,19,1817,1901,44,0,
2024-12-28,Singapore Airlines,FRA,LAX,1813,1919,66,0534,0643,69,0,
2025-06-04,Etihad,PEK,ICN,1336,1333,-3,0015,0010,-5,0,
2025-03-07,American Airlines,SYD,ICN,0952,0934,-18,1834,1811,-23,0,
2025-04-13,Qatar Airways,HND,SFO,1349,1445,56,0553,0651,58,0,
2025-01-30,British Airways,DFW,FRA,1632,1629,-3,1842,1908,26,0,
2024-11-28,British Airways,HND,ORD,0529,0613,44,0456,0557,61,0,
2024-10-13,Air India,SYD,LAX,1242,1356,74,0013,0119,66,0,
2025-02-08,Emirates,SYD,BOM,1624,1727,63,0932,1049,77,0,
2025-03-22,Etihad,ICN,AUH,1619,1638,19,1126,1156,30,0,
2025-04-18,American Airlines,LAX,CDG,1802,1819,17,0931,1006,35,0,
2025-06-04,British Airways,BKK,SYD,0102,0215,73,0049,0159,70,0,
2024-11-01,FlyDubai,DOH,HND,1514,1531,17,0615,0622,7,0,
2024-09-24,Emirates,DOH,DFW,1900,2029,89,0201,0350,109,0,
2024-10-25,Delta,ICN,JFK,2257,2319,22,1246,1302,16,0,
2025-06-06,Emirates,DFW,CDG,0216,0234,18,0941,1007,26,0,
2024-12-17,Etihad,LAX,SIN,1839,1837,-2,1454,1518,24,0,
2025-04-06,British Airways,DFW,BKK,0152,0341,109,1541,1748,127,0,
2025-02-22,British Airways,JFK,SFO,2237,0015,98,0654,0847,113,0,
2024-12-11,Etihad,DFW,AUH,1812,1837,25,1124,1148,24,0,
2025-07-06,Delta,LAX,SYD,1808,2003,115,2258,0048,110,0,
2025-04-11,British Airways,AUH,SIN,1248,1350,62,2158,2325,87,0,
2024-09-07,Etihad,DFW,DOH,0945,1133,108,1531,1733,122,0,
2025-03-22,FlyDubai,BKK,ORD,1832,2025,113,1514,1722,128,0,
2025-02-20,FlyDubai,SFO,KWI,0640,0756,76,0148,0307,79,0,
2024-10-07,Singapore Airlines,BKK,DXB,0234,0356,82,0834,0948,74,0,
2024-08-27,Singapore Airlines,SFO,KWI,1239,1238,-1,2135,2159,24,0,
2025-04-02,Lufthansa,BOM,FRA,0850,1033,103,0200,0354,114,0,
2024-12-08,American Airlines,PEK,CDG,2138,2317,99,1803,1952,109,0,
2025-01-31,Emirates,ICN,DFW,0630,0725,55,1741,1841,60,0,
2024-09-02,Etihad,BKK,JFK,2116,2157,41,2039,2114,35,0,
2025-01-04,British Airways,SFO,LHR,1228,1318,50,1400,1453,53,0,
2025-06-20,Etihad,JFK,AUH,0600,0734,94,1910,2104,114,0,
2025-01-04,Etihad,BOM,KWI,1605,1705,60,1849,1941,52,0,
2025-05-09,British Airways,ORD,FRA,1713,1803,50,1350,1448,58,0,
2025-05-11,British Airways,DFW,FRA,1843,1912,29,1556,1649,53,0,
2025-05-10,Air India,SIN,FRA,0048,0033,-15,0617,0624,7,0,
2025-03-16,Qatar Airways,JFK,BKK,0550,0656,66,0528,0702,94,0,
2025-06-21,Emirates,DXB,JFK,1721,1730,9,1600,1604,4,0,
2025-07-29,British Airways,SIN,DFW,1714,1737,23,0313,0359,46,0,
2024-12-04,Qatar Airways,PEK,DEL,0801,0949,108,1128,1327,119,0,
2025-05-18,Singapore Airlines,CDG,SFO,0435,0612,97,1301,1449,108,0,
2024-12-01,British Airways,SYD,SFO,0130,0217,47,1440,1546,66,0,
2025-02-27,Lufthansa,BKK,DFW,0023,0140,77,1124,1304,100,0,
2024-09-20,Etihad,CDG,JFK,0449,0638,109,0423,0614,111,0,
2025-08-09,Air India,DFW,SYD,1830,1938,68,1823,1935,72,0,
2025-07-18,Delta,DFW,SIN,1303,1329,26,1516,1552,36,0,
2024-11-22,FlyDubai,DXB,KWI,2134,2141,7,1427,1434,7,0,
2025-03-01,American Airlines,FRA,LHR,1623,1619,-4,1147,1155,8,0,
2025-07-15,Lufthansa,ICN,ORD,2233,0012,99,0120,0306,106,0,
2024-12-25,British Airways,FRA,DXB,0721,0806,45,0310,0403,53,0,
2024-11-16,Lufthansa,LAX,DEL,0445,0449,4,0746,0812,26,0,
2025-03-03,Air India,SYD,LAX,1201,1328,87,1807,1935,88,0,
2024-08-30,Air India,BKK,LAX,0129,0125,-4,0011,0026,15,0,
2025-04-22,Qatar Airways,JFK,SIN,0909,0940,31,1522,1602,40,0,
2025-03-05,American Airlines,LAX,BOM,2033,2142,69,1308,1440,92,0,
2024-12-30,Emirates,SIN,HND,0728,0841,73,1606,1729,83,0,
2025-07-04,Singapore Airlines,SIN,FRA,1649,1653,4,1330,1332,2,0,
2024-12-30,American Airlines,LAX,LHR,0251,0304,13,1116,1126,10,0,
2025-05-18,Air India,ORD,DOH,0705,0648,-17,0320,0255,-25,0,
2024-12-21,Lufthansa,SFO,DEL,1056,1105,9,1902,1922,20,0,
2024-10-21,Qatar Airways,AUH,BKK,0704,0754,50,1727,1829,62,0,
2025-03-17,Etihad,FRA,ORD,1048,1236,108,1936,2152,136,0,
2024-10-24,British Airways,SIN,CDG,0915,1034,79,1541,1657,76,0,
2024-10-23,FlyDubai,CDG,DFW,1901,2008,67,0323,0435,72,0,
2025-03-25,Emirates,DFW,BKK,2141,2247,66,0013,0141,88,0,
2025-05-06,Emirates,AUH,DEL,2014,2045,31,0319,0343,24,0,
2024-09-18,Etihad,DFW,LAX,0237,0347,70,2135,2237,62,0,
2025-06-02,Qatar Airways,DOH,DXB,2256,2333,37,1116,1201,45,0,
2024-09-22,American Airlines,SIN,DXB,2104,2045,-19,2208,2155,-13,0,
2025-02-17,Lufthansa,PEK,LAX,1122,1155,33,1834,1931,57,0,
